,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3
2019-05-19 11:00:00,2.7794669568880046,,2.7838699810923515,
2019-05-19 12:00:00,4.068661589771119,,,4.088684478019977
2019-05-19 13:00:00,4.7799262759484815,,,4.811936236111112
2019-05-19 14:00:00,2.9448218444755163,,2.9350602089013167,
2019-05-19 15:00:00,2.8033538895604364,,2.8126796822346503,
2019-05-19 16:00:00,1.6825724561286657,1.6883641202609414,,
2019-05-19 17:00:00,0.6754762730179295,0.6755854193580404,,
2019-05-20 05:00:00,0.5540733920184551,0.5518346797149103,,
2019-05-20 06:00:00,0.5772384933525736,0.578263622799423,,
2019-05-20 07:00:00,0.45523911681497436,0.4534487573920798,,
2019-05-20 08:00:00,0.8308274328282826,0.8355671747066858,,
2019-05-20 09:00:00,1.6520048941114895,1.6499813883516667,,
2019-05-20 10:00:00,3.1651590943138275,,3.158602385562647,
2019-05-20 11:00:00,5.567304431670163,,,5.612883127912705
2019-05-20 12:00:00,5.1377094763208575,,,5.1463058055113535
2019-05-20 13:00:00,5.101298224890466,,,5.095350674531329
2019-05-20 14:00:00,4.091270196000973,,,4.0870829443439645
2019-05-20 15:00:00,2.9966515245484144,,2.9649543433778387,
2019-05-20 16:00:00,1.5101217262394813,1.5171876769162744,,
2019-05-20 17:00:00,0.710418261095665,0.7136444896878882,,
2019-05-20 18:00:00,0.43984111734045095,0.454171638129001,,
2019-05-21 05:00:00,0.4066675909260573,0.40751508056868785,,
2019-05-21 06:00:00,0.9547716985095351,0.9387774390572389,,
2019-05-21 07:00:00,0.8603424823686943,0.8580152718846662,,
2019-05-21 08:00:00,0.6798308095987359,0.6802504560134061,,
2019-05-21 09:00:00,1.4279764327241389,1.4361989049421289,,
2019-05-21 10:00:00,0.7910426373618854,0.7971409371917793,,
2019-05-21 11:00:00,1.5225021987037042,1.5361176806804004,,
2019-05-21 12:00:00,1.0493197921386743,1.0520676761746321,,
2019-05-21 13:00:00,1.0276942380255547,1.0263703838235902,,
2019-05-21 14:00:00,1.695603906549571,1.694614777793727,,
2019-05-21 15:00:00,0.4588920891525523,0.4662155140912856,,
2019-05-22 05:00:00,0.3654946906888981,0.3677264043675095,,
2019-05-22 06:00:00,0.3250744583333331,0.32677316333333317,,
2019-05-22 07:00:00,0.5041042117364113,0.5055810566125537,,
2019-05-22 08:00:00,0.47587232824885517,0.47938263360836636,,
2019-05-22 09:00:00,0.5547577451404693,0.5508269804502252,,
2019-05-22 10:00:00,0.5933760411813775,0.5998830619776195,,
2019-05-22 11:00:00,0.59266055378359,0.5964623507997134,,
2019-05-22 12:00:00,0.7896913736700337,0.7929360947619046,,
2019-05-22 13:00:00,0.6513649730320359,0.6698937361839971,,
2019-05-22 14:00:00,0.46361109031756265,0.4631776881818178,,
2019-05-22 16:00:00,0.38912123886512673,0.39238519741025535,,
