dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall
20191022,173000,,0.97,0.03,0,0,8.04,0.02,0,0,0.53,0,315,0,
20191022,173100,,1.19,0.04,0,0,9.79,0.03,0,0,0.54,0,315,0,
20191022,173200,,0.9,0.04,0.01,0,7.43,0.03,0,0,0.54,0,315,2.66,
20191022,173300,,1,0.13,0.07,0.01,8.09,0.12,0.01,0,0.54,0,315,2.66,
20191022,173400,,0.98,0.03,0,0,8.05,0.02,0,0,0.53,0,315,0,
20191022,173500,,0.72,0.08,0.04,0.01,5.9,0.07,0.01,0,0.54,0,315,0,
20191022,173600,,0.74,0.02,0,0,6.14,0.02,0,0,0.53,0,315,0,
20191022,173700,,0.8,0.03,0,0,6.64,0.02,0,0,0.53,0,315,0,
20191022,174000,,1.11,0.17,0.1,0.02,8.96,0.17,0.02,0,0.54,0,315,0,
20191022,174100,,1.42,0.23,0.14,0.02,11.46,0.23,0.03,0,0.54,0,315,0,
20191022,174200,,1.27,0.21,0.13,0.02,10.18,0.21,0.02,0,0.54,0,315,0,
20191022,174300,,0.98,0.17,0.11,0.02,7.83,0.17,0.02,0,0.54,0,315,0,
20191022,174400,,0.81,0.13,0.08,0.01,6.56,0.13,0.01,0,0.55,0,315,0,
20191022,174500,,0.93,0.17,0.1,0.02,7.46,0.17,0.02,0,0.54,21.12,315,0,
20191022,174600,,1.33,0.27,0.17,0.03,10.6,0.27,0.03,0.01,0.54,0,315,0,
20191022,174700,,1.15,0.06,0.01,0,9.45,0.04,0,0,0.53,0,315,0,
20191022,174800,,1.37,0.23,0.14,0.02,10.99,0.23,0.03,0,0.54,0,315,0,
20191022,174900,,1.43,0.3,0.19,0.03,11.4,0.31,0.03,0.01,0.55,0,315,1.33,
20191022,175000,,1.52,0.34,0.22,0.03,12.11,0.34,0.04,0.01,0.55,0,315,0,
20191022,175100,,1.49,0.35,0.22,0.04,11.85,0.35,0.04,0.01,0.56,0,315,1.33,
20191022,175400,,3.85,2.27,1.62,0.26,28.5,2.38,0.29,0.05,0.76,20.81,315,0,
20191022,175500,,3.36,2.07,1.48,0.24,24.73,2.17,0.27,0.04,0.75,0,315,0,
20191022,175600,,4.22,2.87,2.06,0.33,30.71,3.02,0.37,0.06,0.78,0,315,1.33,
20191022,175700,,3.48,2.3,1.65,0.26,25.38,2.42,0.3,0.05,0.76,0,315,0,
20191022,175900,,2.96,1.64,1.17,0.19,22.1,1.72,0.21,0.03,0.71,20.94,315,0,
20191022,180000,,2.83,1.23,0.86,0.14,21.64,1.28,0.15,0.03,0.65,-127,315,0,
20191022,180100,,2.82,1.02,0.7,0.11,21.85,1.06,0.13,0.02,0.63,-127,315,0,
20191022,180200,,3.28,0.92,0.61,0.1,25.81,0.94,0.11,0.02,0.59,-127,315,0,
20191022,180300,,2.26,0.51,0.33,0.05,18.03,0.51,0.06,0.01,0.57,-127,315,0,
20191022,180400,,3.22,0.11,0,0,26.58,0.07,0,0,0.53,20.81,315,0,
20191022,180600,,3.87,0.13,0,0,31.95,0.09,0,0,0.51,20.75,315,0,
20191022,180700,,3.86,0.13,0,0,31.88,0.09,0,0,0.5,-127,315,0,
20191022,180800,,4.04,0.13,0,0,33.29,0.09,0,0,0.49,-127,315,0,
20191022,180900,,4.03,0.13,0,0,33.27,0.09,0,0,0.5,-127,315,0,
